News,Source / Said By,stated_on,Via,Writter,Published on,Classification
"Passing a federal firearms ""background check through the NICS database . . . typically takes 90 seconds.""",James Langevin,"December 3, 2013",a news release:,C. Eugene Emery Jr.,"December 8, 2013",TRUE
"""At present spending levels, only citizens of New York have a greater local debt burden than Texans.""",Debra Medina,"December 13, 2013",a press release:,Sue Owen,"December 6, 2013",TRUE
"""For the cost of $5 vanilla soy latte a day, you can get a sweet health insurance plan to match.""",Cover Oregon,"November 25, 2013",an Internet ad campaign:,Dana Tims,"December 6, 2013",half-true
"Obamacare medical device tax ""has led to the loss of thousands of jobs"" in U.S.",Ted Poe,"October 24, 2013",an email to a c,Sue Owen,"December 6, 2013",half-true
"The ""priorities"" of more than three-quarters of Americans are to increase the minimum wage, create a path to citizenship for illegal immigrants, and require background checks for gun buyers.",Al Sharpton,"December 4, 2013",a broadcast of MSNBC's Politics Nati,Jon Greenberg,"December 6, 2013",FALSE
"""By the time she turns 3 years old, a child born into a low-income home hears 30 million fewer words than a child from a well-off family.""",Barack Obama,"December 4, 2013",a speech:,Julie Kliegman,"December 5, 2013",TRUE
"Says Vladimir Putin said, ""President Obama and his fellow Democrats are either idiots or deliberately trying to destroy their own economy.""",Facebook posts,"December 5, 2013",a meme,Lilly Maier,"December 5, 2013",pants-fire
"It's a good sign for Obamacare that in California, ""the proportion of kids who are signing up is the proportion of kids in the population.""",Ezekiel Emanuel,"December 1, 2013",an,Katie Sanders,"December 5, 2013",half-true
"Obamacare is a ""massive, massive income redistribution"" with ""$250 billion a year in Medicaid expansion (and) in the subsidy structure that's basically being paid for by people on Medicare, through Medicare cuts, and a lot of tax increases.""",James Capretta,"December 1, 2013","a broadcast of ""Fox News Sunday"":",Jon Greenberg,"December 5, 2013",half-true
"""Why would our president close the embassy to the Vatican? Hopefully, it is not retribution for Catholic organizations opposing Obamacare.""",Jeb Bush,"November 27, 2013",a tweet:,Amy Sherman,"December 4, 2013",pants-fire
"The minimum wage ""in real terms right now is below where it was when Harry Truman was in office.""",Barack Obama,"December 4, 2013",a speech at the Center for American Progress:,Louis Jacobson,"December 4, 2013",half-true
"""44% of homeless people are employed.""",Facebook posts,"December 4, 2013",a meme,Louis Jacobson,"December 4, 2013",half-true
"""Residents could have received nearly $48M for Local Schools, Fire District, Sheriff’s Dept. and Social Services.""",Freedom and Responsibility PAC,"November 25, 2013",a mailed flier:,Dana Tims,"December 4, 2013",FALSE
"""We, the bishops of the United States -- can you believe it -- in 1919 came out for more affordable, more comprehensive, more universal health care.""",Timothy Dolan,"December 1, 2013",an,Julie Kliegman,"December 4, 2013",TRUE
"""The nine-day deer hunt contributes more than $1.3 billion in revenue to the state of Wisconsin.""",Robin Vos,"November 22, 2013",a Facebook post:,Dave Umhoefer,"December 4, 2013",TRUE
"""Back door gun control is in full effect in the United States"" due to ""Obama’s Environmental Protection Agency.""",Allen West,"December 2, 2013",a blog,Amy Sherman,"December 3, 2013",pants-fire
"Says in the last five years ""Senate Republicans have placed a filibuster on every piece of legislation and every nominee.""",Carla Axtman,"November 22, 2013",an,Ian K. Kullgren,"December 3, 2013",FALSE
"""The administration was kicking and screaming all the way with these sanctions being put in place (on Iran).""",Bob Corker,"November 24, 2013",an,Steve Contorno,"December 3, 2013",FALSE
"""We’re the Sunshine State, and we’re hardly doing any solar energy production.""",Charlie Crist,"November 18, 2013",an,Rochelle Koff,"December 3, 2013",TRUE
"""The economy bled $24 billion"" due to the government shutdown.",Doonesbury,"December 1, 2013",a Do,Jon Greenberg,"December 3, 2013",TRUE
"""The recidivism rate is nearly 29 percent and has been climbing steadily since detainees began being released from Guantanamo.""",Saxby Chambliss,"November 19, 2013",a debate,Willoughby Mariano,"December 2, 2013",half-true
"""Since 1988, Congress has raised its own salary 15 times 'to reflect rising costs.' But raised the minimum wage only three times.""",Facebook posts,"November 20, 2013",a Facebook post,C. Eugene Emery Jr.,"December 2, 2013",FALSE
"Says Gov. Scott Walker has dropped Wisconsin ""to 45th in the nation in job growth prospects while campaigning for president out of state.""",Mike Tate,"November 17, 2013",a fund-rais,Tom Kertscher,"December 1, 2013",FALSE
"""Only 25 percent of what people buy is subject to Rhode Island’s sales tax.""",Joseph Henchman,"November 19, 2013",hear,John Hill,"December 1, 2013",FALSE
"If the Trans-Pacific Partnership ""is fast-tracked through the Senate, it won't receive a committee assignment"" and the consideration will include ""no debate.""",Chain email,"November 26, 2013",a cha,Louis Jacobson,"November 29, 2013",FALSE
"""Just days ago, Iran's Supreme Leader (Ali) Khamenei, who will oversee implementation of this agreement, was calling Israel a 'rabid dog' and accusing the United States of war crimes.""",Marco Rubio,"November 23, 2013",a press release:,Julie Kliegman,"November 27, 2013",TRUE
"""Firearms homicides are down about 40 percent"" since Texas passed concealed-gun permit law.",Jerry Patterson,"November 19, 2013",an,Sue Owen,"November 27, 2013",TRUE
"""Black people kill more black people every six months than the KKK did in 86 years.""",Allen West,"November 25, 2013",comments,Jon Greenberg,"November 27, 2013",half-true
"In Wisconsin, more than 300,000 people have ""some kind of addictive gambling problem, whether it’s pathological or what we’d categorize as a problem gambler.""",Julaine Appling,"November 13, 2013",a radio,Dave Umhoefer,"November 27, 2013",FALSE
"""Only 536 Georgians are signed up for Obamacare while 400,000 in the state lost their health insurance.""",Lynn Westmoreland,"November 14, 2013",a tweet:,Eric Stirgus,"November 27, 2013",half-true
"""I did not support the sequester.""",Marco Rubio,"November 20, 2013",a speech at the American Enterprise Institute:,Amy Sherman,"November 26, 2013",TRUE
"""Republicans have proposed dozens of (health care) solutions designed to help control costs and improve quality.""",Ron Johnson,"November 17, 2013",the weekly Republican address:,Steve Contorno,"November 26, 2013",half-true
"Republican ideas on health care don’t give people ""an option to even enroll in something that they can afford.""",Donna Brazile,"November 19, 2013",a broadcast of CNN's Situati,Jon Greenberg,"November 26, 2013",TRUE
On whether people can keep their insurance under the Affordable Care Act.,Kurt Schrader,"November 9, 2013",a TV,Ian K. Kullgren,"November 26, 2013",half-flip
"""During the last election, Democrats won over a million votes more than Republicans, but because of the way districts are designed, the Republicans got 33 more members of the House of Representatives than the Democrats did.""",Lloyd  Doggett,"November 4, 2013",a guest lecture:,W. Gardner Selby,"November 26, 2013",TRUE
"President Barack Obama has the ""power to stop deportation for all undocumented immigrants in this country.""",Obama's heckler,"November 25, 2013",comments dur,Aaron Sharockman,"November 26, 2013",FALSE
"""These 60 acres (the Atlanta Braves want to build a stadium on) have produced zero SPLOST money for parks and recreation, have produced zero money for education.""",John Loud,"November 19, 2013",newspaper article :,Eric Stirgus,"November 26, 2013",TRUE
"Florida’s proposed amendment for medical marijuana would allow ""people who alleged minor ailments such as muscle spasms, neck pain, back pain and even menstrual cramps (to qualify) for government-sanctioned pot-smoking.""",Grady Judd,"November 19, 2013","a ""Sun-Sent",Julie Kliegman,"November 25, 2013",TRUE
"""American voters remain steadfast in their support for immigration reform with a path to citizenship, with more than 70 percent who want to see reform passed this year.""",Causa Oregon,"November 14, 2013",a website statement:,Dana Tims,"November 25, 2013",half-true
"""Macy's sent a letter to Rick Perry urging him to veto"" equal pay bill.",Senfronia Thompson,"November 20, 2013",email blast from Progress Texas:,Sue Owen,"November 25, 2013",TRUE
"Mark Warner cast ""the tiebreaking vote"" to pass Obamacare.",Ken Cuccinelli,"November 18, 2013",an,Sean Gorman,"November 25, 2013",FALSE
"In a poll, ""53 percent of young Republican voters . . . under age 35 said that they would describe a climate [change] denier as 'ignorant,' 'out of touch' or 'crazy.'""",Sheldon Whitehouse,"November 13, 2013",a speech,C. Eugene Emery Jr.,"November 25, 2013",TRUE
"The Affordable Care Act alters the ""sensible doctor-patient-relationship-centered health care program ... we see today.""",Sarah Palin,"November 24, 2013",comments,Steve Contorno,"November 24, 2013",FALSE
"""Harry Reid was against (the nuclear option) before he was for it. Mitch McConnell was for it before he was against it. President Obama was against it before he was for it.""",Matthew Dowd,"November 24, 2013",comments,Julie Kliegman,"November 24, 2013",TRUE
"""The state budget has actually grown by $4.6 billion under"" Gov. Scott Walker’s actions.",Mary Burke,"November 5, 2013",an,Tom Kertscher,"November 24, 2013",half-true
"""Under Mayor Cicilline, [Providence] was a sanctuary city.""",John DePetro,"October 21, 2013",a statement,John Hill,"November 24, 2013",FALSE
On changing the rules for filibusters on presidential nominees,Barack Obama,"November 21, 2013",speeches:,Lilly Maier,"November 22, 2013",full-flop
On changing the rules for filibusters on presidential nominees,Mitch McConnell,"November 21, 2013",speeches:,Lilly Maier,"November 22, 2013",full-flop
On changing the rules for filibusters on presidential nominees,Harry Reid,"November 21, 2013",speeches:,Lilly Maier,"November 22, 2013",full-flop
"""You've got more people wanting to go moose hunting in New Hampshire than want Obamacare.""",Mike Huckabee,"November 18, 2013",comments,Jim Haddadin,"November 22, 2013",half-true
"""In the history of the United States, 168 presidential nominees have been filibustered, 82 blocked under President Obama, 86 blocked under all the other presidents.""",Harry Reid,"November 21, 2013",a graphic:,Louis Jacobson,"November 22, 2013",TRUE
"""If you survey, most (North Carolina) Democrats also agree with our (election) laws and voter ID.""",Pat McCrory,"November 20, 2013",an,Louis Jacobson,"November 22, 2013",FALSE
"""The reason we have a national debt is not because of defense spending. What is driving our long-term debt are Medicare and Social Security programs.""",Marco Rubio,"November 20, 2013",a speech at American Enterprise Institute:,Amy Sherman,"November 22, 2013",TRUE
"""All"" University of Texas ""student-athletes get an iPad.""",Jody Conradt,"September 28, 2013",a Texas Tribune Festival panel:,W. Gardner Selby,"November 22, 2013",FALSE
"""No one in the country has ever built a brand new sports facility and created this kind of development at the same time.""",Mike Plant,"November 20, 2013",an,Eric Stirgus,"November 22, 2013",TRUE
"""8.5 million Americans have gotten rebate checks because their insurance companies were spending too much money on executive bonuses and administrative costs and not enough on health care.""",David Axelrod,"November 21, 2013",an,Katie Sanders,"November 21, 2013",TRUE
"Florida ""remains the top travel destination across the world.""",Rick Scott,"November 15, 2013",a news release about Florida's tourism statistics:,Amy Sherman,"November 21, 2013",FALSE
"""500,000 people have signed up for #Obamacare.""",Debbie Wasserman Schultz,"November 13, 2013",,Steve Contorno,"November 20, 2013",half-true
"Says Barack Obama’s approval rating ""is right in the average"" for second-term presidents at this point.",Ari Melber,"November 18, 2013",a talk,Katie Sanders,"November 20, 2013",half-true
